time,equity,cash
2026-02-04T23:00:00+08:00,10000.0000,10000.0000
2026-02-04T23:59:59+08:00,10000.0000,10000.0000
2026-02-05T00:59:59+08:00,10000.0000,10000.0000
2026-02-05T01:59:59+08:00,10000.0000,10000.0000
2026-02-05T02:59:59+08:00,10000.0000,10000.0000
2026-02-05T03:59:59+08:00,10000.0000,10000.0000
2026-02-05T04:59:59+08:00,10000.0000,10000.0000
2026-02-05T05:59:59+08:00,10000.0000,10000.0000
2026-02-05T06:59:59+08:00,10000.0000,10000.0000
2026-02-05T07:59:59+08:00,10000.0000,10000.0000
2026-02-05T08:59:59+08:00,10000.0000,10000.0000
2026-02-05T09:59:59+08:00,10000.0000,10000.0000
2026-02-05T10:59:59+08:00,10000.0000,10000.0000
2026-02-05T11:59:59+08:00,10000.0000,10000.0000
2026-02-05T12:59:59+08:00,10000.0000,10000.0000
2026-02-05T13:59:59+08:00,10000.0000,10000.0000
2026-02-05T14:59:59+08:00,10000.0000,10000.0000
2026-02-05T15:59:59+08:00,10000.0000,10000.0000
2026-02-05T16:59:59+08:00,10000.0000,10000.0000
2026-02-05T17:59:59+08:00,10000.0000,10000.0000
2026-02-05T18:59:59+08:00,10000.0000,10000.0000
2026-02-05T19:59:59+08:00,10000.0000,10000.0000
2026-02-05T20:59:59+08:00,10000.0000,10000.0000
2026-02-05T21:59:59+08:00,10000.0000,10000.0000
2026-02-05T22:59:59+08:00,10000.0000,10000.0000
2026-02-05T23:59:59+08:00,10000.0000,10000.0000
2026-02-06T00:59:59+08:00,10000.0000,10000.0000
2026-02-06T01:59:59+08:00,10000.0000,10000.0000
2026-02-06T02:59:59+08:00,10000.0000,10000.0000
2026-02-06T03:59:59+08:00,10000.0000,10000.0000
2026-02-06T04:59:59+08:00,10000.0000,10000.0000
2026-02-06T05:59:59+08:00,10000.0000,10000.0000
2026-02-06T06:59:59+08:00,10000.0000,10000.0000
2026-02-06T07:59:59+08:00,10000.0000,10000.0000
2026-02-06T08:59:59+08:00,10000.0000,10000.0000
2026-02-06T09:59:59+08:00,10000.0000,10000.0000
2026-02-06T10:59:59+08:00,10000.0000,10000.0000
2026-02-06T11:59:59+08:00,10000.0000,10000.0000
2026-02-06T12:59:59+08:00,10000.0000,10000.0000
2026-02-06T13:59:59+08:00,10000.0000,10000.0000
2026-02-06T14:59:59+08:00,10000.0000,10000.0000
2026-02-06T15:59:59+08:00,10000.0000,10000.0000
2026-02-06T16:59:59+08:00,10000.0000,10000.0000
2026-02-06T17:59:59+08:00,10000.0000,10000.0000
2026-02-06T18:59:59+08:00,10000.0000,10000.0000
2026-02-06T19:59:59+08:00,10000.0000,10000.0000
2026-02-06T20:59:59+08:00,10000.0000,10000.0000
2026-02-06T21:59:59+08:00,10000.0000,10000.0000
2026-02-06T22:59:59+08:00,10000.0000,10000.0000
2026-02-06T23:59:59+08:00,9985.1525,90.1000
2026-02-07T00:59:59+08:00,10178.4103,90.1000
2026-02-07T01:59:59+08:00,10308.5447,90.1000
2026-02-07T02:59:59+08:00,10153.9352,90.1000
2026-02-07T03:59:59+08:00,10291.7664,90.1000
2026-02-07T04:59:59+08:00,10193.1130,90.1000
2026-02-07T05:59:59+08:00,10237.4027,90.1000
2026-02-07T06:59:59+08:00,10385.8329,90.1000
2026-02-07T07:59:59+08:00,10269.2919,90.1000
2026-02-07T08:59:59+08:00,10181.0341,90.1000
2026-02-07T09:59:59+08:00,10256.4082,90.1000
2026-02-07T10:59:59+08:00,10236.3988,90.1000
2026-02-07T11:59:59+08:00,10317.9306,90.1000
2026-02-07T12:59:59+08:00,10297.3443,90.1000
2026-02-07T13:59:59+08:00,10206.0617,90.1000
2026-02-07T14:59:59+08:00,10011.8763,90.1000
2026-02-07T15:59:59+08:00,9913.2388,90.1000
2026-02-07T16:59:59+08:00,9970.0070,90.1000
2026-02-07T17:59:59+08:00,9915.2322,90.1000
2026-02-07T18:59:59+08:00,9898.6660,90.1000
2026-02-07T19:59:59+08:00,9896.0162,90.1000
2026-02-07T20:59:59+08:00,10045.7445,90.1000
2026-02-07T21:59:59+08:00,10030.3206,10030.3206
2026-02-07T22:59:59+08:00,10030.3206,10030.3206
2026-02-07T23:59:59+08:00,10030.3206,10030.3206
2026-02-08T00:59:59+08:00,10030.3206,10030.3206
2026-02-08T01:59:59+08:00,10030.3206,10030.3206
2026-02-08T02:59:59+08:00,10030.3206,10030.3206
2026-02-08T03:59:59+08:00,10030.3206,10030.3206
2026-02-08T04:59:59+08:00,10030.3206,10030.3206
2026-02-08T05:59:59+08:00,10030.3206,10030.3206
2026-02-08T06:59:59+08:00,10030.3206,10030.3206
2026-02-08T07:59:59+08:00,10030.3206,10030.3206
2026-02-08T08:59:59+08:00,10030.3206,10030.3206
2026-02-08T09:59:59+08:00,10030.3206,10030.3206
2026-02-08T10:59:59+08:00,10030.3206,10030.3206
2026-02-08T11:59:59+08:00,10030.3206,10030.3206
2026-02-08T12:59:59+08:00,10015.4280,90.3732
2026-02-08T13:59:59+08:00,9996.8179,90.3732
2026-02-08T14:59:59+08:00,10016.1364,90.3732
2026-02-08T15:59:59+08:00,10066.7103,90.3732
2026-02-08T16:59:59+08:00,10202.8256,90.3732
2026-02-08T17:59:59+08:00,10140.4380,90.3732
2026-02-08T18:59:59+08:00,10140.6798,90.3732
2026-02-08T19:59:59+08:00,10251.2213,90.3732
2026-02-08T20:59:59+08:00,10287.3968,90.3732
2026-02-08T21:59:59+08:00,10321.9981,90.3732
2026-02-08T22:59:59+08:00,10282.5053,90.3732
2026-02-08T23:59:59+08:00,10274.4167,90.3732
2026-02-09T00:59:59+08:00,10166.1435,90.3732
2026-02-09T01:59:59+08:00,10219.0959,90.3732
2026-02-09T02:59:59+08:00,10272.4589,90.3732
2026-02-09T03:59:59+08:00,10312.7374,90.3732
2026-02-09T04:59:59+08:00,10229.2123,90.3732
2026-02-09T05:59:59+08:00,10211.6956,90.3732
2026-02-09T06:59:59+08:00,10257.0989,90.3732
2026-02-09T07:59:59+08:00,10155.3945,90.3732
2026-02-09T08:59:59+08:00,10180.5519,90.3732
2026-02-09T09:59:59+08:00,10160.9958,90.3732
2026-02-09T10:59:59+08:00,10198.2733,90.3732
2026-02-09T11:59:59+08:00,10299.9490,90.3732
2026-02-09T12:59:59+08:00,10251.3730,90.3732
2026-02-09T13:59:59+08:00,10258.0391,90.3732
2026-02-09T14:59:59+08:00,10203.7086,90.3732
2026-02-09T15:59:59+08:00,10168.4633,90.3732
2026-02-09T16:59:59+08:00,10091.3682,90.3732
2026-02-09T17:59:59+08:00,10037.4540,10037.4540
2026-02-09T18:59:59+08:00,10037.4540,10037.4540
2026-02-09T19:59:59+08:00,10037.4540,10037.4540
2026-02-09T20:59:59+08:00,10037.4540,10037.4540
2026-02-09T21:59:59+08:00,10037.4540,10037.4540
2026-02-09T22:59:59+08:00,10037.4540,10037.4540
2026-02-09T23:59:59+08:00,10037.4540,10037.4540
2026-02-10T00:59:59+08:00,10037.4540,10037.4540
2026-02-10T01:59:59+08:00,10037.4540,10037.4540
2026-02-10T02:59:59+08:00,10037.4540,10037.4540
2026-02-10T03:59:59+08:00,10037.4540,10037.4540
2026-02-10T04:59:59+08:00,10037.4540,10037.4540
2026-02-10T05:59:59+08:00,10037.4540,10037.4540
2026-02-10T06:59:59+08:00,10037.4540,10037.4540
2026-02-10T07:59:59+08:00,10037.4540,10037.4540
2026-02-10T08:59:59+08:00,10022.5509,90.4375
2026-02-10T09:59:59+08:00,10097.0740,90.4375
2026-02-10T10:59:59+08:00,10052.6568,90.4375
2026-02-10T11:59:59+08:00,9969.9330,90.4375
2026-02-10T12:59:59+08:00,10014.9370,90.4375
2026-02-10T13:59:59+08:00,9959.1587,90.4375
2026-02-10T14:59:59+08:00,9868.4353,9868.4353
2026-02-10T15:59:59+08:00,9868.4353,9868.4353
2026-02-10T16:59:59+08:00,9868.4353,9868.4353
2026-02-10T17:59:59+08:00,9868.4353,9868.4353
2026-02-10T18:59:59+08:00,9868.4353,9868.4353
2026-02-10T19:59:59+08:00,9868.4353,9868.4353
2026-02-10T20:59:59+08:00,9868.4353,9868.4353
2026-02-10T21:59:59+08:00,9868.4353,9868.4353
2026-02-10T22:59:59+08:00,9868.4353,9868.4353
2026-02-10T23:59:59+08:00,9868.4353,9868.4353
2026-02-11T00:59:59+08:00,9868.4353,9868.4353
2026-02-11T01:59:59+08:00,9868.4353,9868.4353
2026-02-11T02:59:59+08:00,9868.4353,9868.4353
2026-02-11T03:59:59+08:00,9868.4353,9868.4353
2026-02-11T04:59:59+08:00,9868.4353,9868.4353
2026-02-11T05:59:59+08:00,9868.4353,9868.4353
2026-02-11T06:59:59+08:00,9868.4353,9868.4353
2026-02-11T07:59:59+08:00,9868.4353,9868.4353
2026-02-11T08:59:59+08:00,9868.4353,9868.4353
2026-02-11T09:59:59+08:00,9868.4353,9868.4353
2026-02-11T10:59:59+08:00,9868.4353,9868.4353
2026-02-11T11:59:59+08:00,9868.4353,9868.4353
2026-02-11T12:59:59+08:00,9868.4353,9868.4353
2026-02-11T13:59:59+08:00,9868.4353,9868.4353
2026-02-11T14:59:59+08:00,9868.4353,9868.4353
2026-02-11T15:59:59+08:00,9868.4353,9868.4353
2026-02-11T16:59:59+08:00,9868.4353,9868.4353
2026-02-11T17:59:59+08:00,9868.4353,9868.4353
2026-02-11T18:59:59+08:00,9868.4353,9868.4353
2026-02-11T19:59:59+08:00,9868.4353,9868.4353
2026-02-11T20:59:59+08:00,9868.4353,9868.4353
2026-02-11T21:59:59+08:00,9868.4353,9868.4353
2026-02-11T22:59:59+08:00,9868.4353,9868.4353
2026-02-11T23:59:59+08:00,9868.4353,9868.4353
2026-02-12T00:59:59+08:00,9868.4353,9868.4353
2026-02-12T01:59:59+08:00,9868.4353,9868.4353
2026-02-12T02:59:59+08:00,9868.4353,9868.4353
2026-02-12T03:59:59+08:00,9868.4353,9868.4353
2026-02-12T04:59:59+08:00,9868.4353,9868.4353
2026-02-12T05:59:59+08:00,9868.4353,9868.4353
2026-02-12T06:59:59+08:00,9868.4353,9868.4353
2026-02-12T07:59:59+08:00,9868.4353,9868.4353
2026-02-12T08:59:59+08:00,9868.4353,9868.4353
2026-02-12T09:59:59+08:00,9868.4353,9868.4353
2026-02-12T10:59:59+08:00,9868.4353,9868.4353
2026-02-12T11:59:59+08:00,9853.7831,88.9146
2026-02-12T12:59:59+08:00,9772.6024,88.9146
2026-02-12T13:59:59+08:00,9789.2648,88.9146
2026-02-12T14:59:59+08:00,9785.1621,88.9146
2026-02-12T15:59:59+08:00,9802.2711,88.9146
2026-02-12T16:59:59+08:00,9790.2244,88.9146
2026-02-12T17:59:59+08:00,9851.4593,88.9146
2026-02-12T18:59:59+08:00,9917.9877,88.9146
2026-02-12T19:59:59+08:00,9937.1791,88.9146
2026-02-12T20:59:59+08:00,9892.9405,88.9146
2026-02-12T21:59:59+08:00,9966.2394,88.9146
2026-02-12T22:59:59+08:00,9863.7459,88.9146
2026-02-12T23:59:59+08:00,9782.2212,88.9146
2026-02-13T00:59:59+08:00,9596.1943,88.9146
2026-02-13T01:59:59+08:00,9543.8788,88.9146
2026-02-13T02:59:59+08:00,9554.9517,9554.9517
2026-02-13T03:59:59+08:00,9554.9517,9554.9517
2026-02-13T04:59:59+08:00,9554.9517,9554.9517
2026-02-13T05:59:59+08:00,9554.9517,9554.9517
2026-02-13T06:59:59+08:00,9554.9517,9554.9517
2026-02-13T07:59:59+08:00,9554.9517,9554.9517
2026-02-13T08:59:59+08:00,9554.9517,9554.9517
2026-02-13T09:59:59+08:00,9554.9517,9554.9517
2026-02-13T10:59:59+08:00,9554.9517,9554.9517
2026-02-13T11:59:59+08:00,9554.9517,9554.9517
2026-02-13T12:59:59+08:00,9554.9517,9554.9517
2026-02-13T13:59:59+08:00,9554.9517,9554.9517
2026-02-13T14:59:59+08:00,9554.9517,9554.9517
2026-02-13T15:59:59+08:00,9554.9517,9554.9517
2026-02-13T16:59:59+08:00,9554.9517,9554.9517
2026-02-13T17:59:59+08:00,9554.9517,9554.9517
2026-02-13T18:59:59+08:00,9554.9517,9554.9517
2026-02-13T19:59:59+08:00,9554.9517,9554.9517
2026-02-13T20:59:59+08:00,9554.9517,9554.9517
2026-02-13T21:59:59+08:00,9540.7649,86.0901
2026-02-13T22:59:59+08:00,9599.4945,86.0901
2026-02-13T23:59:59+08:00,9719.3072,86.0901
2026-02-14T00:59:59+08:00,9779.6921,86.0901
2026-02-14T01:59:59+08:00,9787.8801,86.0901
2026-02-14T02:59:59+08:00,9798.4231,86.0901
2026-02-14T03:59:59+08:00,9779.4462,86.0901
2026-02-14T04:59:59+08:00,9744.8253,86.0901
2026-02-14T05:59:59+08:00,9757.6068,86.0901
2026-02-14T06:59:59+08:00,9777.3440,86.0901
2026-02-14T07:59:59+08:00,9766.4047,86.0901
2026-02-14T08:59:59+08:00,9793.4474,86.0901
2026-02-14T09:59:59+08:00,9777.5590,86.0901
2026-02-14T10:59:59+08:00,9766.2473,86.0901
2026-02-14T11:59:59+08:00,9779.3099,86.0901
2026-02-14T12:59:59+08:00,9752.3318,86.0901
2026-02-14T13:59:59+08:00,9751.2245,86.0901
2026-02-14T14:59:59+08:00,9772.4470,86.0901
2026-02-14T15:59:59+08:00,9812.6506,86.0901
2026-02-14T16:59:59+08:00,9887.7631,86.0901
2026-02-14T17:59:59+08:00,9884.6689,86.0901
2026-02-14T18:59:59+08:00,9876.2491,86.0901
2026-02-14T19:59:59+08:00,9990.6238,86.0901
2026-02-14T20:59:59+08:00,9876.5161,86.0901
2026-02-14T21:59:59+08:00,9842.4039,86.0901
2026-02-14T22:59:59+08:00,9885.2071,86.0901
2026-02-14T23:59:59+08:00,9891.2016,86.0901
2026-02-15T00:59:59+08:00,9885.2479,86.0901
2026-02-15T01:59:59+08:00,9885.7341,86.0901
2026-02-15T02:59:59+08:00,9888.0048,86.0901
2026-02-15T03:59:59+08:00,9899.0341,86.0901
2026-02-15T04:59:59+08:00,9925.6033,86.0901
2026-02-15T05:59:59+08:00,9913.3459,86.0901
2026-02-15T06:59:59+08:00,9916.6677,86.0901
2026-02-15T07:59:59+08:00,9892.2527,86.0901
2026-02-15T08:59:59+08:00,9889.7669,86.0901
2026-02-15T09:59:59+08:00,9882.6834,86.0901
2026-02-15T10:59:59+08:00,9853.8547,86.0901
2026-02-15T11:59:59+08:00,9919.9193,86.0901
2026-02-15T12:59:59+08:00,9944.6969,86.0901
2026-02-15T13:59:59+08:00,9959.9599,86.0901
2026-02-15T14:59:59+08:00,9979.2840,86.0901
2026-02-15T15:59:59+08:00,10034.8209,86.0901
2026-02-15T16:59:59+08:00,9985.0789,86.0901
2026-02-15T17:59:59+08:00,9981.2498,86.0901
2026-02-15T18:59:59+08:00,9983.1974,86.0901
2026-02-15T19:59:59+08:00,9960.8297,86.0901
2026-02-15T20:59:59+08:00,9826.2359,86.0901
2026-02-15T21:59:59+08:00,9772.0029,86.0901
2026-02-15T22:59:59+08:00,9802.6724,86.0901
2026-02-15T23:59:59+08:00,9795.7477,86.0901
2026-02-16T00:59:59+08:00,9774.6371,9774.6371
2026-02-16T01:59:59+08:00,9774.6371,9774.6371
2026-02-16T02:59:59+08:00,9774.6371,9774.6371
2026-02-16T03:59:59+08:00,9774.6371,9774.6371
2026-02-16T04:59:59+08:00,9774.6371,9774.6371
2026-02-16T05:59:59+08:00,9774.6371,9774.6371
2026-02-16T06:59:59+08:00,9774.6371,9774.6371
2026-02-16T07:59:59+08:00,9774.6371,9774.6371
2026-02-16T08:59:59+08:00,9774.6371,9774.6371
2026-02-16T09:59:59+08:00,9774.6371,9774.6371
2026-02-16T10:59:59+08:00,9774.6371,9774.6371
2026-02-16T11:59:59+08:00,9774.6371,9774.6371
2026-02-16T12:59:59+08:00,9774.6371,9774.6371
2026-02-16T13:59:59+08:00,9774.6371,9774.6371
2026-02-16T14:59:59+08:00,9774.6371,9774.6371
2026-02-16T15:59:59+08:00,9774.6371,9774.6371
2026-02-16T16:59:59+08:00,9774.6371,9774.6371
2026-02-16T17:59:59+08:00,9774.6371,9774.6371
2026-02-16T18:59:59+08:00,9774.6371,9774.6371
2026-02-16T19:59:59+08:00,9774.6371,9774.6371
2026-02-16T20:59:59+08:00,9774.6371,9774.6371
2026-02-16T21:59:59+08:00,9774.6371,9774.6371
2026-02-16T22:59:59+08:00,9774.6371,9774.6371
2026-02-16T23:59:59+08:00,9774.6371,9774.6371
2026-02-17T00:59:59+08:00,9774.6371,9774.6371
2026-02-17T01:59:59+08:00,9774.6371,9774.6371
2026-02-17T02:59:59+08:00,9774.6371,9774.6371
2026-02-17T03:59:59+08:00,9774.6371,9774.6371
2026-02-17T04:59:59+08:00,9774.6371,9774.6371
2026-02-17T05:59:59+08:00,9774.6371,9774.6371
2026-02-17T06:59:59+08:00,9774.6371,9774.6371
2026-02-17T07:59:59+08:00,9774.6371,9774.6371
2026-02-17T08:59:59+08:00,9774.6371,9774.6371
2026-02-17T09:59:59+08:00,9774.6371,9774.6371
2026-02-17T10:59:59+08:00,9774.6371,9774.6371
2026-02-17T11:59:59+08:00,9774.6371,9774.6371
2026-02-17T12:59:59+08:00,9760.1242,88.0695
2026-02-17T13:59:59+08:00,9725.0045,88.0695
2026-02-17T14:59:59+08:00,9749.7603,88.0695
2026-02-17T15:59:59+08:00,9746.9243,88.0695
2026-02-17T16:59:59+08:00,9717.1800,88.0695
2026-02-17T17:59:59+08:00,9694.1753,9694.1753
2026-02-17T18:59:59+08:00,9694.1753,9694.1753
2026-02-17T19:59:59+08:00,9694.1753,9694.1753
2026-02-17T20:59:59+08:00,9694.1753,9694.1753
2026-02-17T21:59:59+08:00,9694.1753,9694.1753
2026-02-17T22:59:59+08:00,9694.1753,9694.1753
2026-02-17T23:59:59+08:00,9694.1753,9694.1753
2026-02-18T00:59:59+08:00,9694.1753,9694.1753
2026-02-18T01:59:59+08:00,9694.1753,9694.1753
2026-02-18T02:59:59+08:00,9694.1753,9694.1753
2026-02-18T03:59:59+08:00,9694.1753,9694.1753
2026-02-18T04:59:59+08:00,9694.1753,9694.1753
2026-02-18T05:59:59+08:00,9694.1753,9694.1753
2026-02-18T06:59:59+08:00,9694.1753,9694.1753
2026-02-18T07:59:59+08:00,9694.1753,9694.1753
2026-02-18T08:59:59+08:00,9694.1753,9694.1753
2026-02-18T09:59:59+08:00,9694.1753,9694.1753
2026-02-18T10:59:59+08:00,9694.1753,9694.1753
2026-02-18T11:59:59+08:00,9694.1753,9694.1753
2026-02-18T12:59:59+08:00,9694.1753,9694.1753
2026-02-18T13:59:59+08:00,9694.1753,9694.1753
2026-02-18T14:59:59+08:00,9694.1753,9694.1753
2026-02-18T15:59:59+08:00,9694.1753,9694.1753
2026-02-18T16:59:59+08:00,9694.1753,9694.1753
2026-02-18T17:59:59+08:00,9694.1753,9694.1753
2026-02-18T18:59:59+08:00,9694.1753,9694.1753
2026-02-18T19:59:59+08:00,9679.7819,87.3445
2026-02-18T20:59:59+08:00,9691.0302,87.3445
2026-02-18T21:59:59+08:00,9659.9476,87.3445
2026-02-18T22:59:59+08:00,9653.4400,87.3445
2026-02-18T23:59:59+08:00,9723.1506,87.3445
2026-02-19T00:59:59+08:00,9645.9915,87.3445
2026-02-19T01:59:59+08:00,9636.1076,9636.1076
2026-02-19T02:59:59+08:00,9636.1076,9636.1076
2026-02-19T03:59:59+08:00,9636.1076,9636.1076
2026-02-19T04:59:59+08:00,9636.1076,9636.1076
2026-02-19T05:59:59+08:00,9636.1076,9636.1076
2026-02-19T06:59:59+08:00,9636.1076,9636.1076
2026-02-19T07:59:59+08:00,9636.1076,9636.1076
2026-02-19T08:59:59+08:00,9636.1076,9636.1076
2026-02-19T09:59:59+08:00,9636.1076,9636.1076
2026-02-19T10:59:59+08:00,9636.1076,9636.1076
2026-02-19T11:59:59+08:00,9636.1076,9636.1076
2026-02-19T12:59:59+08:00,9636.1076,9636.1076
2026-02-19T13:59:59+08:00,9636.1076,9636.1076
2026-02-19T14:59:59+08:00,9636.1076,9636.1076
2026-02-19T15:59:59+08:00,9636.1076,9636.1076
2026-02-19T16:59:59+08:00,9636.1076,9636.1076
2026-02-19T17:59:59+08:00,9636.1076,9636.1076
2026-02-19T18:59:59+08:00,9636.1076,9636.1076
2026-02-19T19:59:59+08:00,9636.1076,9636.1076
2026-02-19T20:59:59+08:00,9636.1076,9636.1076
2026-02-19T21:59:59+08:00,9636.1076,9636.1076
2026-02-19T22:59:59+08:00,9636.1076,9636.1076
2026-02-19T23:59:59+08:00,9636.1076,9636.1076
2026-02-20T00:59:59+08:00,9636.1076,9636.1076
2026-02-20T01:59:59+08:00,9636.1076,9636.1076
2026-02-20T02:59:59+08:00,9636.1076,9636.1076
2026-02-20T03:59:59+08:00,9636.1076,9636.1076
2026-02-20T04:59:59+08:00,9636.1076,9636.1076
2026-02-20T05:59:59+08:00,9636.1076,9636.1076
2026-02-20T06:59:59+08:00,9636.1076,9636.1076
2026-02-20T07:59:59+08:00,9621.8004,86.8213
2026-02-20T08:59:59+08:00,9660.1974,86.8213
2026-02-20T09:59:59+08:00,9664.7470,86.8213
2026-02-20T10:59:59+08:00,9663.1355,86.8213
2026-02-20T11:59:59+08:00,9676.6306,86.8213
2026-02-20T12:59:59+08:00,9662.8451,86.8213
2026-02-20T13:59:59+08:00,9736.5742,86.8213
2026-02-20T14:59:59+08:00,9747.4002,86.8213
2026-02-20T15:59:59+08:00,9741.7673,86.8213
2026-02-20T16:59:59+08:00,9749.7661,86.8213
2026-02-20T17:59:59+08:00,9798.0025,86.8213
2026-02-20T18:59:59+08:00,9758.7657,86.8213
2026-02-20T19:59:59+08:00,9664.4409,86.8213
2026-02-20T20:59:59+08:00,9701.6151,86.8213
2026-02-20T21:59:59+08:00,9593.7895,86.8213
2026-02-20T22:59:59+08:00,9633.3310,86.8213
2026-02-20T23:59:59+08:00,9709.0046,86.8213
2026-02-21T00:59:59+08:00,9738.3365,86.8213
2026-02-21T01:59:59+08:00,9711.8659,86.8213
2026-02-21T02:59:59+08:00,9757.1144,86.8213
2026-02-21T03:59:59+08:00,9716.3401,86.8213
2026-02-21T04:59:59+08:00,9728.9839,86.8213
2026-02-21T05:59:59+08:00,9741.7744,86.8213
2026-02-21T06:59:59+08:00,9780.0034,86.8213
2026-02-21T07:59:59+08:00,9769.6970,86.8213
2026-02-21T08:59:59+08:00,9744.2015,86.8213
2026-02-21T09:59:59+08:00,9758.9564,86.8213
2026-02-21T10:59:59+08:00,9769.1361,86.8213
2026-02-21T11:59:59+08:00,9717.3110,86.8213
2026-02-21T12:59:59+08:00,9740.7936,86.8213
2026-02-21T13:59:59+08:00,9745.1353,86.8213
2026-02-21T14:59:59+08:00,9737.4369,86.8213
2026-02-21T15:59:59+08:00,9746.3510,86.8213
2026-02-21T16:59:59+08:00,9774.6836,86.8213
2026-02-21T17:59:59+08:00,9787.8513,86.8213
2026-02-21T18:59:59+08:00,9795.7405,86.8213
2026-02-21T19:59:59+08:00,9780.0091,86.8213
2026-02-21T20:59:59+08:00,9795.8060,86.8213
2026-02-21T21:59:59+08:00,9803.8589,86.8213
2026-02-21T22:59:59+08:00,9831.3260,86.8213
2026-02-21T23:59:59+08:00,9855.7211,86.8213
2026-02-22T00:59:59+08:00,9812.7731,86.8213
2026-02-22T01:59:59+08:00,9824.1486,86.8213
2026-02-22T02:59:59+08:00,9848.5579,86.8213
2026-02-22T03:59:59+08:00,9841.8417,86.8213
2026-02-22T04:59:59+08:00,9796.9107,86.8213
2026-02-22T05:59:59+08:00,9818.9954,86.8213
2026-02-22T06:59:59+08:00,9762.2989,86.8213
2026-02-22T07:59:59+08:00,9767.3297,86.8213
2026-02-22T08:59:59+08:00,9759.9259,86.8213
2026-02-22T09:59:59+08:00,9786.2541,86.8213
2026-02-22T10:59:59+08:00,9753.5797,86.8213
2026-02-22T11:59:59+08:00,9772.7462,86.8213
2026-02-22T12:59:59+08:00,9764.4982,86.8213
2026-02-22T13:59:59+08:00,9749.1366,9749.1366
2026-02-22T14:59:59+08:00,9749.1366,9749.1366
2026-02-22T15:59:59+08:00,9749.1366,9749.1366
2026-02-22T16:59:59+08:00,9749.1366,9749.1366
2026-02-22T17:59:59+08:00,9749.1366,9749.1366
2026-02-22T18:59:59+08:00,9749.1366,9749.1366
2026-02-22T19:59:59+08:00,9749.1366,9749.1366
2026-02-22T20:59:59+08:00,9749.1366,9749.1366
2026-02-22T21:59:59+08:00,9749.1366,9749.1366
2026-02-22T22:59:59+08:00,9749.1366,9749.1366
2026-02-22T23:59:59+08:00,9749.1366,9749.1366
2026-02-23T00:59:59+08:00,9749.1366,9749.1366
2026-02-23T01:59:59+08:00,9749.1366,9749.1366
2026-02-23T02:59:59+08:00,9749.1366,9749.1366
2026-02-23T03:59:59+08:00,9749.1366,9749.1366
2026-02-23T04:59:59+08:00,9749.1366,9749.1366
2026-02-23T05:59:59+08:00,9749.1366,9749.1366
2026-02-23T06:59:59+08:00,9749.1366,9749.1366
2026-02-23T07:59:59+08:00,9749.1366,9749.1366
2026-02-23T08:59:59+08:00,9749.1366,9749.1366
2026-02-23T09:59:59+08:00,9749.1366,9749.1366
2026-02-23T10:59:59+08:00,9749.1366,9749.1366
2026-02-23T11:59:59+08:00,9749.1366,9749.1366
2026-02-23T12:59:59+08:00,9749.1366,9749.1366
2026-02-23T13:59:59+08:00,9749.1366,9749.1366
2026-02-23T14:59:59+08:00,9749.1366,9749.1366
2026-02-23T15:59:59+08:00,9749.1366,9749.1366
2026-02-23T16:59:59+08:00,9749.1366,9749.1366
2026-02-23T17:59:59+08:00,9749.1366,9749.1366
2026-02-23T18:59:59+08:00,9749.1366,9749.1366
2026-02-23T19:59:59+08:00,9749.1366,9749.1366
2026-02-23T20:59:59+08:00,9749.1366,9749.1366
2026-02-23T21:59:59+08:00,9749.1366,9749.1366
2026-02-23T22:59:59+08:00,9749.1366,9749.1366
2026-02-23T23:59:59+08:00,9749.1366,9749.1366
2026-02-24T00:59:59+08:00,9749.1366,9749.1366
2026-02-24T01:59:59+08:00,9749.1366,9749.1366
2026-02-24T02:59:59+08:00,9749.1366,9749.1366
2026-02-24T03:59:59+08:00,9749.1366,9749.1366
2026-02-24T04:59:59+08:00,9749.1366,9749.1366
2026-02-24T05:59:59+08:00,9749.1366,9749.1366
2026-02-24T06:59:59+08:00,9749.1366,9749.1366
2026-02-24T07:59:59+08:00,9749.1366,9749.1366
2026-02-24T08:59:59+08:00,9749.1366,9749.1366
2026-02-24T09:59:59+08:00,9749.1366,9749.1366
2026-02-24T10:59:59+08:00,9749.1366,9749.1366
2026-02-24T11:59:59+08:00,9749.1366,9749.1366
2026-02-24T12:59:59+08:00,9749.1366,9749.1366
2026-02-24T13:59:59+08:00,9749.1366,9749.1366
2026-02-24T14:59:59+08:00,9749.1366,9749.1366
2026-02-24T15:59:59+08:00,9749.1366,9749.1366
2026-02-24T16:59:59+08:00,9749.1366,9749.1366
2026-02-24T17:59:59+08:00,9749.1366,9749.1366
